program,category,bn,name,principal,staffopen,studentopen,receiving_bn,receiving_name,receiving_principal,receiving_address,receiving_borough,receiving_zip,address,latitude,longitude,index
,2,M002,P.S. 002 Meyer London,Bessie Ng,,,,,,,,,122 HENRY STREET Manhattan NY 10002,40.713277,-73.991251,M002 
,2,M003,P.S. 003 Charrette School,Lisa Siegman,,,,,,,,,490 HUDSON STREET Manhattan NY 10014,40.732586,-74.006464,M003 
,2,M006,P.S. 006 Lillie D. Blake,Lauren Fontana,,,,,,,,,45 EAST  81 STREET Manhattan NY 10028,40.777471,-73.960744,M006 
,2,M011,P.S. 011 William T. Harris,Robert Bender,,,,,,,,,320 WEST  21 STREET Manhattan NY 10011,40.744324,-74.000191,M011 
,2,M033,P.S. 033 Chelsea Prep,Linore Lindy,,,,,,,,,281 9 AVENUE Manhattan NY 10001,40.748716,-73.999716,M033 
,2,M040,P.S. 040 Augustus Saint-Gaudens,Susan Felder,,,,,,,,,319 EAST 19 STREET Manhattan NY 10003,40.735186,-73.982094,M040 
,2,M255,M.S. 255 Salk School Of Science,Kelly Shannon,,,,,,,,,319 EAST 19 STREET Manhattan NY 10003,40.735186,-73.982094,M255 
,2,M041,P.S. 041 Greenwich Village,Rosa Casiello O'Day,,,,,,,,,116 WEST  11 STREET Manhattan NY 10011,40.735662,-73.998945,M041 
,2,M042,P.S. 042 Benjamin Altman,Watfa A. Shama,,,,,,,,,71 HESTER STREET Manhattan NY 10002,40.715893,-73.990859,M042 
,2,M047,47 The American Sign Language And English Secondary School,Rosemarie Gaetani,,,,,,,,,223 EAST 23 STREET Manhattan NY 10010,40.738571,-73.982502,M047 
,2,M347,The 47 American Sign Language & English Lower School,Jane Hsu,,,,,,,,,223 EAST 23 STREET Manhattan NY 10010,40.738571,-73.982502,M347 
,2,M312,New York City Lab Middle School For Collaborative Studies,Alice Hom,,,,,,,,,333 WEST  17 STREET Manhattan NY 10011,40.742111,-74.002155,M312 
,2,M412,N.Y.C. Lab School For Collaborative Studies,Lily Woo,,,,,,,,,333 WEST  17 STREET Manhattan NY 10011,40.742111,-74.002155,M412 
,2,M414,N.Y.C. Museum School,Phyllis Tam,,,,,,,,,333 WEST  17 STREET Manhattan NY 10011,40.742111,-74.002155,M414 
,2,M104,J.H.S. 104 Simon Baruch,Mandana Beckman,,,,,,,,,330 EAST  21 STREET Manhattan NY 10010,40.736247,-73.981026,M104 
,2,M116,P.S. 116 Mary Lindley Murray,Lisa Ripperger,,,,,,,,,210 EAST  33 STREET Manhattan NY 10016,40.744873,-73.978188,M116 
,2,M124,P.S. 124 Yung Wing,Rhonda Perry,,,,,,,,,40 DIVISION STREET Manhattan NY 10002,40.714161,-73.99584,M124 
,2,M130,P.S. 130 Hernando De Soto,Jonathan Levin,,,,,,,,,143 BAXTER STREET Manhattan NY 10013,40.718717,-73.998564,M130 
,2,M131,M.S. 131,"Mcevoy, Medea",,,,,,,,,100 HESTER STREET Manhattan NY 10002,40.716419,-73.992653,M131 
,2,M298,Pace High School,Erin Carstensen,,,,,,,,,100 HESTER STREET Manhattan NY 10002,40.716419,-73.992653,M298 
,2,M394,Emma Lazarus High School,Yvette Sy,,,,,,,,,100 HESTER STREET Manhattan NY 10002,40.716419,-73.992653,M394 
,2,M234,P.S. 234 Independence School,David Glasner,,,,,,,,,292 GREENWICH STREET Manhattan NY 10007,40.716193,-74.010981,M234 
,2,M267,"East Side Elementary School, Ps 267",John Wenk,,,,,,,,,213 EAST 63RD STREET Manhattan NY 10065,40.763874,-73.964284,M267 
,2,M217,P.S./I.S. 217 Roosevelt Island,Megan Adams,,,,,,,,,645 MAIN STREET Manhattan NY 10044,40.763796,-73.948024,M217 
,2,M316,"Urban Assembly School Of Business For Young Women, The",Christine Olson,,,,,,,,,26 BROADWAY Manhattan NY 10004,40.705648,-74.013326,M316 
,2,M580,Richard R. Green High School Of Teaching,Patricia Minaya,,,,,,,,,26 BROADWAY Manhattan NY 10004,40.705648,-74.013326,M580 
,2,M896,Lower Manhattan Community Middle School,David Bowell,,,,,,,,,26 BROADWAY Manhattan NY 10004,40.705648,-74.013326,M896 
